PEAK_chr	PEAK_start	PEAK_end	GENE_chr	GENE_start	GENE_end	ID
chr3	738965	740051	chr3	736141	738527	AT3G03200
chr5	22775086	22776199	chr5	22775325	22777304	AT5G56260
chr5	22775086	22776199	chr5	22775325	22777304	AT5G56260
chr5	22775086	22776199	chr5	22775549	22776049	AT5G56260
chr5	22775086	22776199	chr5	22776050	22776068	AT5G56260
chr5	22775086	22776199	chr5	22775549	22776049	AT5G56260
chr5	22775086	22776199	chr5	22775325	22775548	AT5G56260
chr5	22775086	22776199	chr5	22775325	22776068	AT5G56260
chr5	713120	714814	chr5	710102	712994	AT5G03040
chr5	713120	714814	chr5	710233	712994	AT5G03040
chr5	713120	714814	chr5	712554	712994	AT5G03040
chr5	713120	714814	chr5	712554	712994	AT5G03040
chr5	24780503	24781758	chr5	24779215	24779930	AT5G61660
chr5	24780503	24781758	chr5	24779215	24779930	AT5G61660
chr5	24780503	24781758	chr5	24779863	24779930	AT5G61660
chr5	24780503	24781758	chr5	24779215	24779930	AT5G61660
chr1	24657291	24658395	chr1	24655210	24657683	AT1G66200
chr1	24657291	24658395	chr1	24655210	24657638	AT1G66200
chr1	24657291	24658395	chr1	24655520	24657520	AT1G66200
chr1	24657291	24658395	chr1	24657521	24657638	AT1G66200
chr1	24657291	24658395	chr1	24657447	24657520	AT1G66200
chr1	24657291	24658395	chr1	24657447	24657638	AT1G66200
chr1	24657291	24658395	chr1	24655210	24657638	AT1G66200
chr1	24657291	24658395	chr1	24655552	24657520	AT1G66200
chr1	24657291	24658395	chr1	24657521	24657638	AT1G66200
chr1	24657291	24658395	chr1	24657447	24657520	AT1G66200
chr1	24657291	24658395	chr1	24657447	24657638	AT1G66200
chr1	24657291	24658395	chr1	24655499	24657683	AT1G66200
chr1	24657291	24658395	chr1	24655520	24657520	AT1G66200
chr1	24657291	24658395	chr1	24657521	24657683	AT1G66200
chr1	24657291	24658395	chr1	24657447	24657520	AT1G66200
chr1	24657291	24658395	chr1	24657447	24657683	AT1G66200
chr2	1039572	1041071	chr2	1039205	1040118	AT2G03440
chr2	1039572	1041071	chr2	1039205	1040118	AT2G03440
chr2	1039572	1041071	chr2	1039409	1039972	AT2G03440
chr2	1039572	1041071	chr2	1039973	1040118	AT2G03440
chr2	1039572	1041071	chr2	1039409	1039972	AT2G03440
chr2	1039572	1041071	chr2	1039205	1040118	AT2G03440
chr2	1039572	1041071	chr2	1040938	1041042	AT2G03445
chr2	1039572	1041071	chr2	1040938	1041042	AT2G03445
chr2	1039572	1041071	chr2	1040938	1041042	AT2G03445
chr2	12972091	12973187	chr2	12972877	12975497	AT2G30440
chr2	12972091	12973187	chr2	12972877	12975497	AT2G30440
chr2	12972091	12973187	chr2	12972877	12973840	AT2G30440
chr2	12972091	12973187	chr2	12972877	12973243	AT2G30440
chr1	5513575	5514418	chr1	5511873	5513896	AT1G16070
chr1	5513575	5514418	chr1	5511873	5513896	AT1G16070
chr1	5513575	5514418	chr1	5511899	5513779	AT1G16070
chr1	5513575	5514418	chr1	5513780	5513896	AT1G16070
chr1	5513575	5514418	chr1	5513358	5513779	AT1G16070
chr1	5513575	5514418	chr1	5513358	5513896	AT1G16070
chr1	5513575	5514418	chr1	5511874	5513896	AT1G16070
chr1	5513575	5514418	chr1	5511899	5513779	AT1G16070
chr1	5513575	5514418	chr1	5513780	5513896	AT1G16070
chr1	5513575	5514418	chr1	5513358	5513779	AT1G16070
chr1	5513575	5514418	chr1	5513358	5513896	AT1G16070
chr1	5513575	5514418	chr1	5514317	5516027	AT1G16080
chr1	5513575	5514418	chr1	5514317	5516027	AT1G16080
chr1	5513575	5514418	chr1	5514394	5515761	AT1G16080
chr1	5513575	5514418	chr1	5514317	5514742	AT1G16080
chr1	5513575	5514418	chr1	5514317	5514393	AT1G16080
chr1	5513575	5514418	chr1	5514394	5514742	AT1G16080
chr2	17168532	17170111	chr2	17167279	17170407	AT2G41190
chr2	17168532	17170111	chr2	17167279	17170407	AT2G41190
chr2	17168532	17170111	chr2	17167561	17170145	AT2G41190
chr2	17168532	17170111	chr2	17169931	17170145	AT2G41190
chr2	17168532	17170111	chr2	17169931	17170407	AT2G41190
chr2	17168532	17170111	chr2	17169576	17169826	AT2G41190
chr2	17168532	17170111	chr2	17169576	17169826	AT2G41190
chr2	17168532	17170111	chr2	17169293	17169507	AT2G41190
chr2	17168532	17170111	chr2	17169293	17169507	AT2G41190
chr2	17168532	17170111	chr2	17169167	17169190	AT2G41190
chr2	17168532	17170111	chr2	17169167	17169190	AT2G41190
chr2	17168532	17170111	chr2	17168885	17169065	AT2G41190
chr2	17168532	17170111	chr2	17168885	17169065	AT2G41190
chr2	17168532	17170111	chr2	17168572	17168791	AT2G41190
chr2	17168532	17170111	chr2	17168572	17168791	AT2G41190
chr3	7711225	7713218	chr3	7709113	7709733	AT3G21890
chr3	7711225	7713218	chr3	7709113	7709733	AT3G21890
chr3	7711225	7713218	chr3	7709664	7709733	AT3G21890
chr3	7711225	7713218	chr3	7709113	7709733	AT3G21890
chr1	4577848	4580195	chr1	4576873	4577967	AT1G13360
chr1	4577848	4580195	chr1	4576957	4577893	AT1G13360
chr1	4577848	4580195	chr1	4577814	4577893	AT1G13360
chr1	4577848	4580195	chr1	4576957	4577893	AT1G13360
chr1	4577848	4580195	chr1	4576873	4577967	AT1G13360
chr1	4577848	4580195	chr1	4577814	4577967	AT1G13360
chr1	4577848	4580195	chr1	4577305	4577967	AT1G13360
chr1	4577848	4580195	chr1	4576967	4577967	AT1G13360
chr1	4577848	4580195	chr1	4577814	4577967	AT1G13360
chr1	4577848	4580195	chr1	4577305	4577967	AT1G13360
chr4	6135028	6136286	chr4	6132837	6135200	AT4G09720
chr4	6135028	6136286	chr4	6132917	6135183	AT4G09720
chr4	6135028	6136286	chr4	6134893	6135183	AT4G09720
chr4	6135028	6136286	chr4	6134960	6135183	AT4G09720
chr4	6135028	6136286	chr4	6133296	6135183	AT4G09720
chr4	6135028	6136286	chr4	6134893	6135183	AT4G09720
chr4	6135028	6136286	chr4	6134960	6135183	AT4G09720
chr4	6135028	6136286	chr4	6132917	6135183	AT4G09720
chr4	6135028	6136286	chr4	6134893	6135183	AT4G09720
chr4	6135028	6136286	chr4	6134960	6135183	AT4G09720
chr4	6135028	6136286	chr4	6132837	6135200	AT4G09720
chr4	6135028	6136286	chr4	6134893	6135200	AT4G09720
chr4	6135028	6136286	chr4	6134960	6135200	AT4G09720
chr4	6135028	6136286	chr4	6136249	6139711	AT4G09730
chr4	6135028	6136286	chr4	6136249	6139711	AT4G09730
chr4	6135028	6136286	chr4	6136249	6136848	AT4G09730
chr4	6135028	6136286	chr4	6136249	6136332	AT4G09730
chr5	25433869	25434822	chr5	25433154	25435834	AT5G63530
chr5	25433869	25434822	chr5	25433154	25435834	AT5G63530
chr5	25433869	25434822	chr5	25433279	25435614	AT5G63530
chr5	25433869	25434822	chr5	25434161	25434363	AT5G63530
chr5	25433869	25434822	chr5	25434161	25434363	AT5G63530
chr5	25433869	25434822	chr5	25434759	25434849	AT5G63530
chr5	25433869	25434822	chr5	25434759	25434849	AT5G63530
chr5	25433869	25434822	chr5	25433341	25435700	AT5G63530
chr5	25433869	25434822	chr5	25433423	25435614	AT5G63530
chr5	25433869	25434822	chr5	25434161	25434363	AT5G63530
chr5	25433869	25434822	chr5	25434161	25434363	AT5G63530
chr5	25433869	25434822	chr5	25434759	25434849	AT5G63530
chr5	25433869	25434822	chr5	25434759	25434849	AT5G63530
chr3	21440776	21442161	chr3	21438084	21442021	AT3G57890
chr3	21440776	21442161	chr3	21438203	21442021	AT3G57890
chr3	21440776	21442161	chr3	21438271	21441695	AT3G57890
chr3	21440776	21442161	chr3	21440944	21441147	AT3G57890
chr3	21440776	21442161	chr3	21440944	21441147	AT3G57890
chr3	21440776	21442161	chr3	21441259	21441351	AT3G57890
chr3	21440776	21442161	chr3	21441259	21441351	AT3G57890
chr3	21440776	21442161	chr3	21441446	21441557	AT3G57890
chr3	21440776	21442161	chr3	21441446	21441557	AT3G57890
chr3	21440776	21442161	chr3	21441652	21442021	AT3G57890
chr3	21440776	21442161	chr3	21441652	21441695	AT3G57890
chr3	21440776	21442161	chr3	21441696	21442021	AT3G57890
chr3	21440776	21442161	chr3	21438084	21441888	AT3G57890
chr3	21440776	21442161	chr3	21438271	21441695	AT3G57890
chr3	21440776	21442161	chr3	21440944	21441147	AT3G57890
chr3	21440776	21442161	chr3	21440944	21441147	AT3G57890
chr3	21440776	21442161	chr3	21441259	21441351	AT3G57890
chr3	21440776	21442161	chr3	21441259	21441351	AT3G57890
chr3	21440776	21442161	chr3	21441446	21441557	AT3G57890
chr3	21440776	21442161	chr3	21441446	21441557	AT3G57890
chr3	21440776	21442161	chr3	21441652	21441888	AT3G57890
chr3	21440776	21442161	chr3	21441652	21441695	AT3G57890
chr3	21440776	21442161	chr3	21441696	21441888	AT3G57890
chr5	2943529	2944945	chr5	2941798	2943668	AT5G09450
chr5	2943529	2944945	chr5	2941798	2943668	AT5G09450
chr5	2943529	2944945	chr5	2942419	2943668	AT5G09450
chr5	2943529	2944945	chr5	2943325	2943668	AT5G09450
chr5	2943529	2944945	chr5	2943738	2946839	AT5G09460
chr5	2943529	2944945	chr5	2943738	2946839	AT5G09460
chr5	2943529	2944945	chr5	2944437	2945417	AT5G09460
chr5	2943529	2944945	chr5	2944437	2945417	AT5G09460
chr5	2943529	2944945	chr5	2943738	2944436	AT5G09460
chr5	2943529	2944945	chr5	2943738	2945460	AT5G09460
chr5	2943529	2944945	chr5	2943738	2946839	AT5G09461
chr5	2943529	2944945	chr5	2943738	2946839	AT5G09461
chr5	2943529	2944945	chr5	2943738	2945460	AT5G09461
chr5	2943529	2944945	chr5	2943738	2945460	AT5G09461
chr5	2943529	2944945	chr5	2943738	2946839	AT5G09462
chr5	2943529	2944945	chr5	2943738	2946839	AT5G09462
chr5	2943529	2944945	chr5	2943738	2945460	AT5G09462
chr5	2943529	2944945	chr5	2943738	2945460	AT5G09462
chr5	2943529	2944945	chr5	2943738	2946839	AT5G09463
chr5	2943529	2944945	chr5	2943738	2946839	AT5G09463
chr5	2943529	2944945	chr5	2943738	2945460	AT5G09463
chr5	2943529	2944945	chr5	2943738	2945460	AT5G09463
chr4	15412265	15413094	chr4	15411701	15412289	AT4G31875
chr4	15412265	15413094	chr4	15411701	15412289	AT4G31875
chr4	15412265	15413094	chr4	15411856	15412272	AT4G31875
chr4	15412265	15413094	chr4	15412273	15412289	AT4G31875
chr4	15412265	15413094	chr4	15411856	15412272	AT4G31875
chr4	15412265	15413094	chr4	15411701	15412289	AT4G31875
chr1	3529165	3530570	chr1	3530467	3531842	AT1G10657
chr1	3529165	3530570	chr1	3530467	3531821	AT1G10657
chr1	3529165	3530570	chr1	3530467	3530729	AT1G10657
chr1	3529165	3530570	chr1	3530467	3530651	AT1G10657
chr1	3529165	3530570	chr1	3530467	3531842	AT1G10657
chr1	3529165	3530570	chr1	3530467	3530729	AT1G10657
chr1	3529165	3530570	chr1	3530467	3530651	AT1G10657
chr1	3529165	3530570	chr1	3530467	3531788	AT1G10657
chr1	3529165	3530570	chr1	3530467	3530729	AT1G10657
chr1	3529165	3530570	chr1	3530467	3530651	AT1G10657
chr1	3529165	3530570	chr1	3530467	3531821	AT1G10657
chr1	3529165	3530570	chr1	3530467	3530729	AT1G10657
chr1	3529165	3530570	chr1	3530467	3530651	AT1G10657
chr3	6897363	6898668	chr3	6898181	6901255	AT3G19850
chr3	6897363	6898668	chr3	6898181	6901255	AT3G19850
chr3	6897363	6898668	chr3	6898383	6901157	AT3G19850
chr3	6897363	6898668	chr3	6898383	6898805	AT3G19850
chr3	6897363	6898668	chr3	6898181	6898382	AT3G19850
chr3	6897363	6898668	chr3	6898181	6898805	AT3G19850
chr1	11977899	11978965	chr1	11978494	11978521	AT1G33060
chr1	11977899	11978965	chr1	11978283	11978493	AT1G33060
chr1	11977899	11978965	chr1	11978283	11978521	AT1G33060
chr1	11977899	11978965	chr1	11977883	11978160	AT1G33060
chr1	11977899	11978965	chr1	11977883	11978160	AT1G33060
chr1	11977899	11978965	chr1	11978494	11978521	AT1G33060
chr1	11977899	11978965	chr1	11978283	11978493	AT1G33060
chr1	11977899	11978965	chr1	11978283	11978521	AT1G33060
chr1	11977899	11978965	chr1	11977883	11978160	AT1G33060
chr1	11977899	11978965	chr1	11977883	11978160	AT1G33060
chr1	11977899	11978965	chr1	11975340	11978521	AT1G33060
chr1	11977899	11978965	chr1	11975340	11978521	AT1G33060
chr1	11977899	11978965	chr1	11975518	11978493	AT1G33060
chr1	11977899	11978965	chr1	11975342	11978521	AT1G33060
chr1	11977899	11978965	chr1	11975518	11978493	AT1G33060
chr2	16058573	16060789	chr2	16057517	16057980	AT2G38320
chr2	16058573	16060789	chr2	16057875	16057980	AT2G38320
chr2	16058573	16060789	chr2	16055289	16057980	AT2G38320
chr2	16058573	16060789	chr2	16055289	16057980	AT2G38320
chr1	20959255	20960829	chr1	20960356	20962334	AT1G56040
chr1	20959255	20960829	chr1	20960356	20962334	AT1G56040
chr1	20959255	20960829	chr1	20960356	20962334	AT1G56040
chr1	20959255	20960829	chr1	20960603	20961271	AT1G56040
chr1	20959255	20960829	chr1	20960603	20961271	AT1G56040
chr1	20959255	20960829	chr1	20960356	20960529	AT1G56040
chr1	20959255	20960829	chr1	20960356	20960529	AT1G56040
chr2	11254035	11255868	chr2	11253700	11254930	AT2G26455
chr2	11254035	11255868	chr2	11253700	11254930	AT2G26455
chr2	11254035	11255868	chr2	11253700	11254930	AT2G26455
chr2	11254035	11255868	chr2	11255419	11255802	AT2G26460
chr2	11254035	11255868	chr2	11255419	11255802	AT2G26460
chr2	11254035	11255868	chr2	11255049	11255330	AT2G26460
chr2	11254035	11255868	chr2	11254932	11255048	AT2G26460
chr2	11254035	11255868	chr2	11254932	11255330	AT2G26460
chr2	11254035	11255868	chr2	11254932	11258973	AT2G26460
chr2	11254035	11255868	chr2	11254932	11258973	AT2G26460
chr2	11254035	11255868	chr2	11255049	11258913	AT2G26460
chr3	21419261	21421570	chr3	21419517	21422546	AT3G57830
chr3	21419261	21421570	chr3	21419517	21422546	AT3G57830
chr3	21419261	21421570	chr3	21419778	21422320	AT3G57830
chr3	21419261	21421570	chr3	21419517	21421116	AT3G57830
chr3	21419261	21421570	chr3	21419517	21419777	AT3G57830
chr3	21419261	21421570	chr3	21419778	21421116	AT3G57830
chr2	1017927	1018786	chr2	1016937	1017148	AT2G03340
chr2	1017927	1018786	chr2	1016481	1017148	AT2G03340
chr2	1017927	1018786	chr2	1014350	1017148	AT2G03340
chr2	1017927	1018786	chr2	1014350	1017148	AT2G03340
chr1	6881820	6883102	chr1	6886879	6891374	AT1G19850
chr1	6881820	6883102	chr1	6886879	6891374	AT1G19850
chr1	6881820	6883102	chr1	6886879	6887485	AT1G19850
chr1	6881820	6883102	chr1	6886879	6887352	AT1G19850
chr2	14067496	14069039	chr2	14067972	14069111	AT2G33190
chr2	14067496	14069039	chr2	14067972	14069111	AT2G33190
chr2	14067496	14069039	chr2	14067972	14069111	AT2G33190
chr2	14067496	14069039	chr2	14067972	14069111	AT2G33190
chr2	14067496	14069039	chr2	14067972	14069111	AT2G33190
chr4	17754959	17755273	chr4	17752084	17754157	AT4G37770
chr4	17754959	17755273	chr4	17752084	17754157	AT4G37770
chr4	17754959	17755273	chr4	17752956	17754157	AT4G37770
chr4	17754959	17755273	chr4	17753926	17754157	AT4G37770
chr5	7420715	7421966	chr5	7422716	7425467	AT5G22400
chr5	7420715	7421966	chr5	7422716	7425467	AT5G22400
chr5	7420715	7421966	chr5	7422716	7423049	AT5G22400
chr5	7420715	7421966	chr5	7422716	7423511	AT5G22400
chr4	14076854	14078223	chr4	14077857	14081171	AT4G28490
chr4	14076854	14078223	chr4	14077857	14081171	AT4G28490
chr4	14076854	14078223	chr4	14077894	14080965	AT4G28490
chr4	14076854	14078223	chr4	14077857	14080495	AT4G28490
chr4	14076854	14078223	chr4	14077857	14077893	AT4G28490
chr4	14076854	14078223	chr4	14077894	14080495	AT4G28490
chr1	5359951	5360931	chr1	5362009	5365549	AT1G15570
chr1	5359951	5360931	chr1	5362009	5365549	AT1G15570
chr1	5359951	5360931	chr1	5362009	5362136	AT1G15570
chr1	5359951	5360931	chr1	5362009	5362136	AT1G15570
chr1	6333349	6336085	chr1	6331398	6333743	AT1G18400
chr1	6333349	6336085	chr1	6331398	6333743	AT1G18400
chr1	6333349	6336085	chr1	6331464	6333576	AT1G18400
chr1	6333349	6336085	chr1	6333490	6333743	AT1G18400
chr1	6333349	6336085	chr1	6333490	6333576	AT1G18400
chr1	6333349	6336085	chr1	6333577	6333743	AT1G18400
chr5	3963259	3963990	chr5	3961106	3963522	AT5G12250
chr5	3963259	3963990	chr5	3961106	3963522	AT5G12250
chr5	3963259	3963990	chr5	3963400	3963522	AT5G12250
chr5	3963259	3963990	chr5	3963400	3963522	AT5G12250
chr3	10021042	10022019	chr3	10017476	10019090	AT3G27160
chr3	10021042	10022019	chr3	10017476	10019090	AT3G27160
chr3	10021042	10022019	chr3	10018734	10019090	AT3G27160
chr3	10021042	10022019	chr3	10018855	10019090	AT3G27160
chr2	13316396	13317216	chr2	13317415	13319560	AT2G31240
chr2	13316396	13317216	chr2	13317415	13319560	AT2G31240
chr2	13316396	13317216	chr2	13317415	13317569	AT2G31240
chr2	13316396	13317216	chr2	13317415	13317762	AT2G31240
chr1	4913363	4914804	chr1	4911093	4913152	AT1G14360
chr1	4913363	4914804	chr1	4911093	4913152	AT1G14360
chr1	4913363	4914804	chr1	4913030	4913152	AT1G14360
chr1	4913363	4914804	chr1	4912926	4913152	AT1G14360
chr1	4135093	4136259	chr1	4132967	4134094	AT1G12190
chr1	4135093	4136259	chr1	4132967	4134094	AT1G12190
chr1	4135093	4136259	chr1	4132967	4134094	AT1G12190
chr1	4135093	4136259	chr1	4132967	4134094	AT1G12190
chr1	4135093	4136259	chr1	4132967	4134094	AT1G12190
chr5	6801052	6801799	chr5	6800893	6800977	AT5G20140
chr5	6801052	6801799	chr5	6800512	6800977	AT5G20140
chr5	6801052	6801799	chr5	6798832	6800977	AT5G20140
chr5	6801052	6801799	chr5	6798923	6800977	AT5G20140
chr2	9877910	9880432	chr2	9877058	9879007	AT2G23190
chr2	9877910	9880432	chr2	9877058	9879007	AT2G23190
chr2	9877910	9880432	chr2	9877058	9879007	AT2G23190
chr2	9877910	9880432	chr2	9877927	9878310	AT2G23190
chr2	9877910	9880432	chr2	9877927	9878310	AT2G23190
chr2	9877910	9880432	chr2	9878393	9879007	AT2G23190
chr2	9877910	9880432	chr2	9878393	9879007	AT2G23190
chr2	9877910	9880432	chr2	9879276	9879350	AT2G23200
chr2	9877910	9880432	chr2	9879276	9881908	AT2G23200
chr2	9877910	9880432	chr2	9879276	9881908	AT2G23200
chr2	9877910	9880432	chr2	9879351	9881855	AT2G23200
chr2	9877910	9880432	chr2	9879276	9881908	AT2G23200
chr2	9877910	9880432	chr2	9879351	9881855	AT2G23200
chr1	5384721	5388600	chr1	5381170	5385254	AT1G15660
chr1	5384721	5388600	chr1	5381170	5385254	AT1G15660
chr1	5384721	5388600	chr1	5381230	5385057	AT1G15660
chr1	5384721	5388600	chr1	5384740	5384847	AT1G15660
chr1	5384721	5388600	chr1	5384740	5384847	AT1G15660
chr1	5384721	5388600	chr1	5384927	5385254	AT1G15660
chr1	5384721	5388600	chr1	5384927	5385057	AT1G15660
chr1	5384721	5388600	chr1	5385058	5385254	AT1G15660
chr1	10303416	10304112	chr1	10302650	10303335	AT1G29430
chr1	10303416	10304112	chr1	10302650	10303335	AT1G29430
chr1	10303416	10304112	chr1	10303227	10303335	AT1G29430
chr1	10303416	10304112	chr1	10302650	10303335	AT1G29430
chr1	18211114	18212907	chr1	18209261	18210128	AT1G49230
chr1	18211114	18212907	chr1	18209261	18210128	AT1G49230
chr1	18211114	18212907	chr1	18209261	18210128	AT1G49230
chr1	18211114	18212907	chr1	18209980	18210128	AT1G49230
chr2	19519515	19520324	chr2	19520770	19520847	AT2G47585
chr2	19519515	19520324	chr2	19520770	19520847	AT2G47585
chr2	19519515	19520324	chr2	19520770	19520847	AT2G47585
chr2	19295756	19296822	chr2	19295490	19297826	AT2G46970
chr2	19295756	19296822	chr2	19295490	19297826	AT2G46970
chr2	19295756	19296822	chr2	19295617	19297678	AT2G46970
chr2	19295756	19296822	chr2	19296707	19296814	AT2G46970
chr2	19295756	19296822	chr2	19296707	19296814	AT2G46970
chr2	19295756	19296822	chr2	19296553	19296618	AT2G46970
chr2	19295756	19296822	chr2	19296553	19296618	AT2G46970
chr2	19295756	19296822	chr2	19296382	19296447	AT2G46970
chr2	19295756	19296822	chr2	19296382	19296447	AT2G46970
chr2	19295756	19296822	chr2	19295617	19296018	AT2G46970
chr2	19295756	19296822	chr2	19295490	19296018	AT2G46970
chr3	18639473	18640640	chr3	18640172	18640993	AT3G50290
chr3	18639473	18640640	chr3	18640172	18640993	AT3G50290
chr3	18639473	18640640	chr3	18640172	18640993	AT3G50290
chr3	18639473	18640640	chr3	18640172	18640993	AT3G50290
chr3	18639473	18640640	chr3	18640172	18640993	AT3G50290
chr4	2594504	2596196	chr4	2594154	2594297	AT4G05071
chr4	2594504	2596196	chr4	2594154	2594297	AT4G05071
chr4	2594504	2596196	chr4	2594154	2594297	AT4G05071
chr4	2594504	2596196	chr4	2594154	2594297	AT4G05071
chr4	2594504	2596196	chr4	2594154	2594297	AT4G05071
chr4	2433252	2433922	chr4	2432309	2433550	AT4G04780
chr4	2433252	2433922	chr4	2432309	2433550	AT4G04780
chr4	2433252	2433922	chr4	2432665	2433397	AT4G04780
chr4	2433252	2433922	chr4	2433321	2433550	AT4G04780
chr4	2433252	2433922	chr4	2433321	2433397	AT4G04780
chr4	2433252	2433922	chr4	2433398	2433550	AT4G04780
chr4	18320971	18322194	chr4	18324661	18328826	AT4G39400
chr4	18320971	18322194	chr4	18324661	18328826	AT4G39400
chr4	18320971	18322194	chr4	18324661	18328826	AT4G39400
chr4	18320971	18322194	chr4	18324661	18324825	AT4G39400
chr1	10715243	10716232	chr1	10715665	10718997	AT1G30360
chr1	10715243	10716232	chr1	10715665	10718997	AT1G30360
chr1	10715243	10716232	chr1	10715892	10718799	AT1G30360
chr1	10715243	10716232	chr1	10715665	10716162	AT1G30360
chr1	10715243	10716232	chr1	10715665	10715891	AT1G30360
chr1	10715243	10716232	chr1	10715892	10716162	AT1G30360
chr5	17160789	17162143	chr5	17159044	17161070	AT5G42790
chr5	17160789	17162143	chr5	17159044	17161070	AT5G42790
chr5	17160789	17162143	chr5	17159270	17160975	AT5G42790
chr5	17160789	17162143	chr5	17160976	17161070	AT5G42790
chr5	17160789	17162143	chr5	17160625	17160975	AT5G42790
chr5	17160789	17162143	chr5	17160625	17161070	AT5G42790
chr1	10520908	10522425	chr1	10521120	10521215	AT1G30016
chr1	10520908	10522425	chr1	10521120	10521215	AT1G30016
chr1	10520908	10522425	chr1	10521120	10521215	AT1G30016
chr1	10520908	10522425	chr1	10521120	10521215	AT1G30016
chr1	10520908	10522425	chr1	10521120	10521215	AT1G30016
chr5	16580470	16581403	chr5	16580044	16584008	AT5G41410
chr5	16580470	16581403	chr5	16580044	16584008	AT5G41410
chr5	16580470	16581403	chr5	16580424	16583770	AT5G41410
chr5	16580470	16581403	chr5	16580044	16581281	AT5G41410
chr5	16580470	16581403	chr5	16580424	16581281	AT5G41410
chr4	15139114	15140540	chr4	15140459	15140569	AT4G31136
chr4	15139114	15140540	chr4	15140459	15140569	AT4G31136
chr4	15139114	15140540	chr4	15140459	15140569	AT4G31136
chr4	15139114	15140540	chr4	15140459	15140569	AT4G31136
chr4	15139114	15140540	chr4	15140459	15140569	AT4G31136
chr3	4084331	4085147	chr3	4085805	4086083	AT3G12840
chr3	4084331	4085147	chr3	4085805	4086083	AT3G12840
chr3	4084331	4085147	chr3	4085805	4086083	AT3G12840
chr3	4084331	4085147	chr3	4085805	4086083	AT3G12840
chr3	4084331	4085147	chr3	4085805	4086083	AT3G12840
chr1	8726551	8727775	chr1	8725883	8727212	AT1G24625
chr1	8726551	8727775	chr1	8725883	8727212	AT1G24625
chr1	8726551	8727775	chr1	8726009	8726638	AT1G24625
chr1	8726551	8727775	chr1	8726961	8727212	AT1G24625
chr1	8726551	8727775	chr1	8726961	8727212	AT1G24625
chr1	8726551	8727775	chr1	8726639	8726661	AT1G24625
chr1	8726551	8727775	chr1	8726009	8726638	AT1G24625
chr1	8726551	8727775	chr1	8725883	8726661	AT1G24625
chr3	22292713	22293795	chr3	22291886	22295371	AT3G60320
chr3	22292713	22293795	chr3	22291886	22295371	AT3G60320
chr3	22292713	22293795	chr3	22292073	22295228	AT3G60320
chr3	22292713	22293795	chr3	22293754	22293938	AT3G60320
chr3	22292713	22293795	chr3	22293754	22293938	AT3G60320
chr3	22292713	22293795	chr3	22293443	22293666	AT3G60320
chr3	22292713	22293795	chr3	22293443	22293666	AT3G60320
chr3	22292713	22293795	chr3	22292073	22292862	AT3G60320
chr3	22292713	22293795	chr3	22291886	22292862	AT3G60320
chr1	30191469	30192591	chr1	30191856	30194519	AT1G80300
chr1	30191469	30192591	chr1	30191856	30194519	AT1G80300
chr1	30191469	30192591	chr1	30191954	30194280	AT1G80300
chr1	30191469	30192591	chr1	30191856	30192742	AT1G80300
chr1	30191469	30192591	chr1	30191856	30191953	AT1G80300
chr1	30191469	30192591	chr1	30191954	30192742	AT1G80300
chr5	1152453	1153464	chr5	1150892	1152481	AT5G04190
chr5	1152453	1153464	chr5	1150892	1152481	AT5G04190
chr5	1152453	1153464	chr5	1150892	1152481	AT5G04190
chr5	1152453	1153464	chr5	1152335	1152481	AT5G04190
chr5	21435489	21436953	chr5	21433879	21438659	AT5G52882
chr5	21435489	21436953	chr5	21433879	21438659	AT5G52882
chr5	21435489	21436953	chr5	21434155	21438362	AT5G52882
chr5	21435489	21436953	chr5	21436889	21436985	AT5G52882
chr5	21435489	21436953	chr5	21436889	21436985	AT5G52882
chr5	21435489	21436953	chr5	21436758	21436800	AT5G52882
chr5	21435489	21436953	chr5	21436758	21436800	AT5G52882
chr5	21435489	21436953	chr5	21436581	21436681	AT5G52882
chr5	21435489	21436953	chr5	21436581	21436681	AT5G52882
chr5	21435489	21436953	chr5	21436414	21436478	AT5G52882
chr5	21435489	21436953	chr5	21436414	21436478	AT5G52882
chr5	21435489	21436953	chr5	21435842	21436335	AT5G52882
chr5	21435489	21436953	chr5	21435842	21436335	AT5G52882
chr5	21435489	21436953	chr5	21434978	21435754	AT5G52882
chr5	21435489	21436953	chr5	21434978	21435754	AT5G52882
chr5	7694810	7695964	chr5	7696135	7697927	AT5G23000
chr5	7694810	7695964	chr5	7696135	7697927	AT5G23000
chr5	7694810	7695964	chr5	7696135	7696369	AT5G23000
chr5	7694810	7695964	chr5	7696135	7696233	AT5G23000
chr3	20568322	20569284	chr3	20566248	20571248	AT3G55480
chr3	20568322	20569284	chr3	20566248	20571248	AT3G55480
chr3	20568322	20569284	chr3	20566372	20570629	AT3G55480
chr3	20568322	20569284	chr3	20569150	20569276	AT3G55480
chr3	20568322	20569284	chr3	20569150	20569276	AT3G55480
chr3	20568322	20569284	chr3	20568959	20569068	AT3G55480
chr3	20568322	20569284	chr3	20568959	20569068	AT3G55480
chr3	20568322	20569284	chr3	20568601	20568801	AT3G55480
chr3	20568322	20569284	chr3	20568601	20568801	AT3G55480
chr3	20568322	20569284	chr3	20566248	20571248	AT3G55480
chr3	20568322	20569284	chr3	20566372	20571171	AT3G55480
chr3	20568322	20569284	chr3	20569150	20569276	AT3G55480
chr3	20568322	20569284	chr3	20569150	20569276	AT3G55480
